year,dataset,Water,Trees,Grass,Flooded vegetation,Crops,Shrub and scrub,Built,Bare,Snow and ice,total_area_km2,Water_percent,Trees_percent,Grass_percent,Flooded vegetation_percent,Crops_percent,Shrub and scrub_percent,Built_percent,Bare_percent,Snow and ice_percent,Trees_change,Built_change,Crops_change,Bare_change
1985,GLC-FCS30D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
1990,GLC-FCS30D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
1995,GLC-FCS30D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2000,GLC-FCS30D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2005,GLC-FCS30D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2010,GLC-FCS30D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2015,GLC-FCS30D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2018,Dynamic World,2479.41764666617,81707.76385837253,558.2925299541249,1508.6757758492615,5319.503395884936,12709.73990977927,2100.922106994831,37.95532179482351,6.530862721862793,106428.8014080178,2.3296491305589235,76.77222967599548,0.5245690288419108,1.4175446457067828,4.998180309756069,11.942011693858822,1.9740165060588184,0.0356626414022211,0.006136367820986,,,,
2019,Dynamic World,2504.835173254915,82594.07385507012,603.6389662978996,1144.5967429895818,5598.385575989525,12818.875026973348,2382.5191632521164,70.64546700600107,2.063075115539551,107719.63304594904,2.3253283569824723,76.67504197664569,0.5603797090920376,1.062570221067631,5.197182182751653,11.900221588672986,2.2117780165810865,0.0655827215600209,0.0019152266464364,-0.09718769934978866,0.23776151052226813,0.19900187299558336,0.029920080157799803
2020,GLC-FCS30D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2020,Dynamic World,2757.474369232506,82506.31848197053,732.423010051105,1099.9207114885503,4508.403423005493,12465.643639719432,2616.104162785445,47.62443198023896,16.507996467060163,106750.42022670036,2.583103994697725,77.28898706605193,0.6861078471594735,1.0303666338293611,4.223312108215807,11.677371960922295,2.450673409275354,0.044612875414543,0.0154641044335029,,,,
2021,Dynamic World,2681.193300916816,82257.73156075134,939.3161495884189,1334.439806283112,4289.051262186634,11833.121512370024,2645.333232800626,45.26635655871415,13.537226132887415,106038.99040758856,2.528497574911784,77.57309952176294,0.8858214756458088,1.2584425796151433,4.044786965342224,11.159217441514985,2.494679761314773,0.0426884077118436,0.0127662721805003,0.2841124557110106,0.04400635203941894,-0.1785251428735828,-0.0019244677026993978
2022,Dynamic World,2767.3733818769083,83920.86297237751,793.8137407008321,907.0519447886012,4072.4802932547777,10191.568106789504,3033.086924552651,40.57137356565443,14.954326979675294,105741.76306488612,2.6171053911582414,79.36397175530477,0.7507097647064251,0.8577991500217456,3.851345178305557,9.638167372465382,2.868390725329087,0.0383683536094993,0.0141423090992902,1.7908722335418332,0.3737109640143137,-0.19344178703666737,-0.004320054102344303
2023,Dynamic World,2707.4415984966854,85517.46787556802,780.0087545104776,870.4509153276059,4796.6507305501855,9841.054418070891,3027.440491329341,51.71550159397979,2.8394596757407995,107595.06974512294,2.516324962575163,79.4808424569513,0.7249484166497636,0.8090063210048355,4.458058107971632,9.146380444181055,2.813735330532252,0.0480649361689957,0.0026390239650079,0.11687070164651914,-0.05465539479683468,0.6067129296660752,0.009696582559496403
